date,location,time,"Lat, Long"
2025-04-20,Bt Timah Rd (between Clementi Rd and Blackmore Dr),1705,"1.3365951459866354, 103.78136112577862"
2025-04-20,Coronation Walk,1735,"1.3242244,103.8097309"
2025-04-20,Kings Rd (between Prince Rd and Lutheran Rd),1705,"1.3216555655474416, 103.80957792936259"
2025-04-20,Junction of Stevens Road and Balmoral Road,1720,"1.31301,103.8299083"
2025-04-15,Yishun Avenue 7 (near intersection of Yishun St 22),1635,"1.4394607520380978, 103.83585145678819"
2025-04-13,KPE (Slip Rd to Buangkok East Drive),1405,"1.375031,103.909223"
2025-04-13,Punggol Way (Slip Rd to TPE),1357,"1.4008747016653462, 103.89641264830509"
2025-04-13,Yishun Avenue 7,1350,"1.4384951,103.8332015"
2024-12-29,Bukit Timah Rd (near KAP),1705,"1.3373068968527604, 103.77942756156347"
2024-12-29,Dunearn Road,1500,"1.325467,103.8090096"
2024-11-22,Yishun Avenue 7,1530,"1.4384951,103.8332015"
2024-11-22,Wan Tho Ave (Pheng Geck Ave),1510,"1.3321392,103.8700728"
2024-11-17,Ophir Road,1408,"1.3024489,103.8566459"
2024-02-03,Dunearn Road,1827,"1.325467,103.8090096"
2023-11-28,Boon Lay Way/Corporation Rd,1542,"1.3428518,103.7160287"
2023-07-20,Dunearn Rd (Sime Darby Ctr),0926,"1.3367436,103.7837031"
2022-03-07,Enterprise Road,1605,"1.3332885,103.7054867"
2022-03-07,Jurong East Street 32,1520,"1.3470214,103.7338564"
2022-03-02,KPE towards ECP (after Buangkok Drive Exit),1745,"1.3800864,103.8941323"
2022-03-02,Punggol Way (Slip Rd to TPE),1730,"1.4008747016653462, 103.89641264830509"
2022-02-27,PIE / Bedok North Ave 3 slip road,1415,"1.334611431364797, 103.93369655848748"
2022-02-27,Junction of Eunos Link / Ubi Ave 3,1415,"1.3347636,103.8994408"
2021-11-23,Jurong East Street 32,1230,"1.3470214,103.7338564"
2021-09-01,Punggol Way (Slip Rd to TPE),0400,"1.4008747016653462, 103.89641264830509"
2021-08-30,Punggol Way (Slip Rd to TPE),1013,"1.4008747016653462, 103.89641264830509"
2021-08-30,Hougang Avenue 8,1013,"1.3746983,103.8882516"
2021-08-20,Tampines Avenue 10 (towards TPE),0758,"1.3748039804814367, 103.93131406099447"
2021-07-12,Dunearn Road (Binjai Park),1900,"1.3351504,103.7864808"
2018-11-11,KPE slip road to PIE (towards Changi),1525,"1.31981724018845, 103.87575476162365"
2018-05-26,Kramat Lane,1545,"1.3010114,103.8422569"
2018-04-27,Seletar North Link,1605,"1.4248542,103.8836981"
2018-04-23,slip road from Stevens Road to Balmoral Road,1320,"1.3131229076135529, 103.83038429904742"
2018-04-20,PIE [towards Tuas] at KJE [BKE] exit,1810,"1.3623507414005873, 103.70468689449974"
2018-02-03,slip road of Amber Rd into Mountbatten Rd,1240,"1.30297462147499, 103.9005021022404"
2018-02-03,slip road of Haig Rd into Mountbatten Rd,1240,"1.303317786448753, 103.90043205045473"
2018-01-24,Craig Road,1716,"1.2778048,103.8423234"
2018-01-24,Jln Boon Lay/International Road,1715,"1.3282627,103.7085304"
2016-01-22,Neo Pee Teck Lane,1845,"1.2923183,103.76879"
2014-11-17,Macpherson Road,1426,"1.331099,103.8785838"
2014-11-17,Hougang Ave 1,1424,"1.3544184,103.889824"
2014-11-17,Tampines Road [Jln Teliti],1423,"1.3611782,103.8910565"
2014-11-17,Lorong Ong Lye,1423,"1.3479061,103.8790427"
2014-11-17,Lorong Gambir,1422,"1.3455826,103.8755509"
2014-11-13,Lorong Gambir,1704,"1.3455826,103.8755509"
2014-11-13,Lorong Ong Lye,1703,"1.3479061,103.8790427"
2014-11-13,Macpherson Road / Harvey Road,1701,"1.33262,103.8846626"
2014-11-13,Junction of Yishun Ave 2 and Yishun Ave 5 [slip road],1651,"1.4303202,103.8352756"
2014-11-06,Admiralty Road West near Sembawang Shipyard Gate 3,1612,"1.4622687237794751, 103.81788714770472"
2014-10-31,[Junction of] Woodlands Road and Mandai Estate,1549,"1.4073702,103.7561939"
2014-09-24,junction of  Woodlands Road and Mandai Road,2332,"1.4114657,103.7559205"
2014-09-24,junction of  Woodlands Road and Mandai Road,2325,"1.4114657,103.7559205"
2014-03-20,slip road of Yishun Ave 2 and Yishun Ave 5,1546,"1.4303202,103.8352756"
2013-12-18,Slip road from Yishun Ave 2 to Yishun Ave 5,1854,"1.4303202,103.8352756"
2013-12-18,Jalan Seaview,1627,"1.300828,103.8959163"
2013-12-03,junction of Ang Mo Kio Ave 5 and Ang Mo Kio Industrial Park 2,1720,"1.3779262,103.8634809"
2013-12-03,junction of Jln Remaja and HillView Ave,1609,"1.357061,103.7622846"
2013-11-24,junction of Chai Chee Road and New Upper Changi Road,1331,"1.3228061,103.9233201"
2013-11-22,Sembawang Road near Sembawang Shopping Centre,0450,"1.4415882071571406, 103.82430262414891"
2013-11-04,"Dunearn Road, near Binja Park",1600,"1.3351504,103.7864808"
2013-11-04,"Junction of Ulu Pandan Road and Clementi Road, slip road",1553,"1.3188686010325699, 103.77147548507898"
2013-11-04,"Dunearn Road, near Sime Darby Centre",1553,"1.3362016651568525, 103.78332625319909"
2013-11-04,Lorong Kismis,1549,"1.3374037937983123, 103.76831395274883"
2013-11-04,Junction of Sunset Drive and Sunset Square,1549,"1.3256378,103.7664904"
2013-11-01,Ang Mo Kio Ave 5 just before Slip Road to CTE [City],1556,"1.3764538124419166, 103.85769323125496"
2013-11-01,Slip Road Junction of Yishun Ave 2 & Yishun Ave 5,1533,"1.4303202,103.8352756"
2013-10-30,slip road of ECP from Bedok South Ave 1 exit towards City,1328,"1.3092057052450443, 103.93505370503796"
2013-10-30,Junction of New Upper Changi Road and Chai Chee Road,1301,"1.3228061,103.9233201"